Palabras,shakespeare_the_merchant_of_venice.txt,shakespeare_romeo_juliet.txt,shakespeare_hamlet.txt,dickens_a_christmas_carol.txt,dickens_oliver_twist.txt,dickens_a_tale_of_two_cities.txt,
74,0,0,0,1,0,0,
75,0,0,0,1,0,0,
75em,0,0,0,2,0,0,
76,0,0,0,1,0,0,
77,0,0,0,1,0,0,
78,0,0,0,1,0,0,
79,0,0,0,1,0,0,
80,1,0,0,2,1,0,
801,1,0,0,1,1,1,
809,1,0,0,1,1,1,
81,0,0,0,1,0,0,
82,0,0,0,1,0,0,
83,0,0,0,1,0,0,
84,0,0,0,1,0,0,
84116,1,0,0,1,1,1,
85,0,1,1,2,0,0,
86,0,0,0,1,0,0,
87,0,0,0,1,0,0,
88,0,0,0,1,0,0,
8859,0,0,0,1,0,0,
89,0,0,0,1,0,0,
90,2,1,1,3,2,2,
91,0,0,0,1,0,0,
92,0,0,0,2,0,0,
93,0,1,1,1,0,0,
94,0,0,0,1,0,0,
95,0,0,0,1,0,0,
96,0,0,0,1,0,0,
97,0,0,0,1,0,0,
98,0,0,0,1,0,4,
99,0,0,1,1,0,0,
99712,0,0,0,1,0,0,
aback,0,0,0,0,0,1,
abandon,0,0,0,0,2,11,
abandoned,0,0,0,0,0,1,
abandonment,0,0,0,0,0,1,
abase,0,0,0,0,1,0,
abash,0,0,0,0,0,1,
abate,1,1,0,0,2,2,
abbaye,0,0,0,0,0,5,
abbey,0,1,0,0,0,0,
abbreviation,0,0,1,0,0,0,
abe,0,1,0,1,0,2,
abed,0,1,0,0,0,0,
abel,0,0,0,1,0,0,
abhominably,0,0,1,0,0,0,
abhor,0,2,1,0,0,0,
abhorrence,0,0,0,0,1,1,
abide,3,0,0,1,2,3,
abilitie,0,0,1,0,0,0,
ability,0,0,0,0,3,3,
abject,1,0,0,1,1,1,
ablaze,0,0,0,0,0,1,
able,2,2,0,2,29,17,
ablution,0,0,0,0,1,0,
abnegate,0,0,0,0,0,1,
aboard,1,1,0,0,0,1,
abode,1,0,0,1,6,1,
abolish,0,0,0,0,0,3,
abolished,0,0,0,0,0,1,
abolition,0,0,0,0,0,1,
abominable,0,0,0,0,1,2,
aboord,0,0,3,0,0,0,
aboue,0,0,4,0,0,0,
abound,0,1,0,0,1,1,
abr,0,5,0,0,0,0,
abraham,0,0,0,1,0,0,
abram,2,2,0,0,0,0,
abreast,0,0,0,0,0,2,
abridg,1,0,0,0,0,0,
abridge,0,0,0,0,0,1,
abridgement,0,0,1,0,0,0,
abroach,0,1,0,0,0,0,
abroad,3,4,1,2,15,2,
abrupt,0,0,0,0,2,3,
abruptly,0,0,0,0,5,1,
abscond,0,0,0,0,1,0,
absence,3,0,0,0,10,8,
absent,2,0,1,0,6,5,
absolute,0,0,1,2,0,3,
absolutely,0,0,0,0,0,7,
absolv,0,1,0,0,0,0,
absolve,0,0,0,0,0,1,
absolver,0,1,0,0,0,0,
absorb,0,0,0,0,3,4,
absorption,0,0,0,0,0,2,
abstain,0,0,0,0,2,0,
abstinence,0,0,1,1,0,0,
abstract,0,0,1,0,2,0,
abstractedly,0,0,0,0,3,1,
abstraction,0,0,0,0,5,3,
absurd,0,0,2,0,1,1,
absurdity,0,0,0,0,1,0,
abundance,1,0,0,1,1,1,
abundant,0,0,0,0,0,4,
abundantly,0,0,0,0,2,0,
abus,0,1,1,0,0,0,
abuse,0,2,2,0,2,2,
abut,0,0,0,0,2,0,
abyss,0,0,0,1,1,1,
abyssinia,0,0,0,0,0,1,
acause,0,0,0,0,2,0,
accede,0,0,0,0,3,0,
accent,0,1,2,0,2,3,
accept,7,1,3,4,6,9,
acceptable,0,0,0,0,0,1,
acceptance,1,0,0,0,0,0,
acceptation,0,0,0,0,0,1,
access,11,2,1,11,11,15,
accesse,0,0,1,0,0,0,
accessible,1,0,0,1,1,2,
accessory,0,0,0,0,1,1,
accident,1,2,3,0,4,3,
accidental,0,0,0,0,2,3,
accidentall,0,0,1,0,0,0,
accidentally,0,0,0,0,1,3,
accidently,0,0,0,0,6,0,
acclamation,0,0,0,0,0,3,
accommodate,0,0,0,1,4,0,
accommodation,0,0,0,0,1,1,
accompanied,0,0,0,0,2,0,
accompaniment,0,0,0,0,0,2,
accompany,0,0,0,3,28,9,
accompanying,0,0,0,0,1,0,
accompanyist,0,0,0,0,1,0,
accomplice,0,0,0,0,2,1,
accomplish,0,0,0,0,4,5,
accomplished,1,0,0,0,2,1,
accomplishment,0,0,0,0,0,2,
accord,3,1,5,0,4,12,
accordance,2,0,0,2,2,4,
accordingly,1,0,0,0,8,6,
accost,0,0,0,0,2,2,
accosted,0,0,0,0,1,0,
account,3,2,3,4,28,23,
accouter,1,0,0,0,0,0,
accoutre,0,0,0,0,0,1,
accumulate,0,0,0,0,3,2,
accur,0,1,0,0,0,0,
accuracy,0,0,0,1,2,0,
accurate,0,0,0,0,1,1,
accurately,0,0,0,0,0,1,
accurse,0,0,0,0,0,4,
accursed,0,0,0,0,0,1,
accurst,0,0,1,0,0,0,
accus,1,0,0,0,0,0,
accusation,0,0,0,0,1,2,
accusatory,0,0,0,1,0,0,
accuse,0,0,1,0,0,13,
accustom,0,1,0,0,2,1,
accustomed,0,0,0,2,8,6,
ace,0,0,0,0,0,3,
acerbity,0,0,0,0,1,0,
ache,0,3,0,2,3,0,
achiev,1,0,0,0,0,0,
achieve,0,0,0,1,3,3,
achievement,0,0,0,0,0,2,
acknowledge,1,1,0,0,1,6,
acknowledgment,0,0,0,0,5,3,
aco,0,0,0,0,1,0,
acoustical,0,0,0,0,0,1,
acquaint,3,1,1,1,13,2,
acquaintance,1,1,0,1,15,1,
acquainted,0,0,0,0,1,0,
acquainting,0,0,0,0,1,0,
acquiesce,0,0,0,0,3,1,
acquiesced,0,0,0,0,2,0,
acquiescence,0,0,0,0,1,1,
acquire,0,0,1,0,4,2,
acquirements,0,0,0,0,0,1,
acquisition,0,0,0,0,2,1,
acquit,2,0,0,0,1,4,
acquittal,0,0,0,0,0,1,
acquittance,0,0,1,0,0,0,
acre,0,0,0,0,0,1,
across,0,0,1,4,28,36,
act,13,10,12,4,20,20,
acte,0,0,4,0,0,0,
acting,0,0,1,0,1,0,
action,0,1,11,2,24,22,
actiuely,0,0,1,0,0,0,
active,2,0,0,3,10,6,
actively,0,0,0,0,2,2,
actor,0,0,5,0,3,1,
actual,1,0,0,1,3,4,
actually,0,0,1,0,7,5,
actuated,0,0,0,0,1,0,
actus,0,0,2,0,0,0,
acute,0,0,0,0,2,1,
acuteness,0,0,0,0,2,1,
ad,0,0,0,0,1,0,
adage,0,0,0,0,1,0,
adaie,0,0,1,0,0,0,
adam,0,0,1,0,0,1,
adamant,0,0,0,1,0,0,
adams,0,0,1,0,0,0,
adapt,0,0,0,1,0,0,
add,1,3,1,5,43,39,
addict,0,0,1,0,0,0,
addition,2,1,3,2,5,6,
additional,3,2,2,4,6,7,
additionally,0,0,0,0,0,2,
addle,0,1,0,0,0,0,
address,3,0,1,7,38,23,
addresse,0,0,1,0,0,0,
addressing,0,0,0,0,1,0,
adept,0,0,0,0,1,0,
adequate,0,0,0,0,1,0,
adequately,0,0,0,0,0,1,
adhere,0,0,1,0,2,0,
adieu,6,4,1,0,0,3,
adieus,0,0,0,0,1,0,
adiew,0,0,1,0,0,0,
adioyn,0,0,1,0,0,0,
adjacent,0,1,0,0,2,5,
adjective,0,0,0,0,1,1,
adjoin,0,0,0,0,1,1,
adjoining,0,0,0,1,7,3,
adjourn,0,0,0,0,1,1,
adjuration,0,0,0,0,0,1,
adjure,0,0,0,0,0,3,
adjust,0,1,1,2,4,4,
adjustment,0,0,0,1,0,0,
administer,0,0,0,1,7,2,
administrator,0,0,0,1,0,0,
admirable,0,0,1,0,0,4,
admirably,0,0,0,0,1,0,
admiration,0,0,3,3,8,5,
admire,0,1,0,0,5,8,
admirer,0,0,0,0,2,1,
admission,0,0,0,0,5,3,
admit,1,0,2,2,15,11,
admittance,0,0,1,0,0,1,
admonish,0,0,0,0,1,1,
admonition,0,0,0,0,3,0,
admonitory,0,0,0,0,3,1,
ado,1,1,0,0,1,0,
adopt,0,0,0,0,5,1,
adoption,0,0,1,0,0,0,
adorable,0,0,0,0,0,1,
adore,0,0,1,0,0,0,
adorn,0,0,0,0,0,2,
adornment,0,0,0,0,1,1,
aduanc,0,0,1,0,0,0,
aduancement,0,0,2,0,0,0,
aduantage,0,0,1,0,0,0,
adue,0,0,5,0,0,0,
aduenturous,0,0,1,0,0,0,
aduice,0,0,3,0,0,0,
aduise,0,0,1,0,0,0,
adult,0,0,0,0,1,0,
adulterate,0,0,1,0,0,0,
adust,0,0,0,0,0,1,
advan,0,0,0,1,0,0,
advanc,0,2,0,0,0,0,
advance,0,1,1,1,17,16,
advanced,0,1,0,3,12,8,
advancement,0,0,0,0,1,0,
advantage,2,0,0,0,13,7,
advantageous,0,0,0,0,1,0,
adventure,1,2,0,1,10,0,
adventurous,0,0,0,0,0,3,
adverbiously,0,0,0,0,0,1,
adversary,1,1,0,1,0,0,
adversity,0,1,0,0,1,0,
advert,0,0,0,0,1,0,
advertise,0,0,0,0,1,0,
advertisement,0,0,0,0,3,0,
advertiser,0,0,0,0,1,0,
advice,1,0,0,0,8,7,
advis,2,0,0,0,0,0,
advisability,0,0,0,0,1,0,
advisable,0,0,0,0,4,1,
advise,1,1,0,0,3,10,
advisedly,1,0,0,0,0,0,
adviser,0,0,0,0,1,1,
advisor,0,1,1,0,0,0,
advocate,0,0,0,0,2,3,
ae,0,0,2,0,0,0,
aeneas,0,0,1,0,0,0,
afar,0,0,0,0,0,4,
afarre,0,0,1,0,0,0,
afeard,3,1,0,0,0,0,
affability,0,0,0,1,1,0,
affable,0,0,0,0,1,0,
affably,0,0,0,0,0,1,
affair,0,0,0,0,9,13,
affaire,0,0,3,0,0,0,
affaires,0,0,1,0,0,0,
affairs,1,0,0,1,3,0,
affayre,0,0,1,0,0,0,
affear,0,0,1,0,0,0,
affect,0,1,0,1,22,7,
affectation,0,0,1,0,1,0,
affectingly,0,0,0,0,0,1,
affection,8,5,5,1,13,9,
affectionate,0,0,0,1,6,6,
affectionately,0,0,0,0,2,3,
affidavit,0,0,0,0,0,1,
affinity,0,0,0,0,1,0,
affirm,0,0,0,0,4,0,
affirmative,0,0,0,0,8,2,
affix,0,0,0,0,1,0,
afflict,0,1,1,0,1,6,
affliction,0,1,3,0,2,3,
afford,0,4,0,2,21,4,
affraide,0,0,1,0,0,0,
affray,0,1,0,0,0,0,
affright,0,1,1,0,1,1,
affront,0,0,1,1,0,0,
afire,0,1,0,0,0,1,
afoot,0,0,0,0,0,1,
afore,0,3,0,0,16,1,
aforesaid,1,0,0,0,2,2,
afraid,0,1,0,7,38,17,
afresh,0,0,0,0,2,4,
afternoon,2,3,0,10,5,18,
afternoone,0,0,1,0,0,0,
afterward,1,0,0,0,0,0,
afterwards,0,0,1,4,39,25,
againe,0,0,34,0,0,0,
agate,0,1,0,0,0,0,
age,2,6,8,4,24,25,
aged,1,0,0,2,3,3,
agency,0,0,0,0,0,1,
agent,1,1,1,1,4,2,
aggerawayter,0,0,0,0,0,3,
aggravate,0,0,0,0,3,1,
aggravation,0,0,0,0,1,1,
aghast,0,0,0,0,1,0,
agicultooral,0,0,0,0,0,1,
agile,0,1,0,0,0,0,
agility,0,0,0,1,3,1,
agin,0,0,0,0,3,6,
agitate,0,0,0,0,1,0,
agitated,0,0,0,2,4,6,
agitation,1,0,0,1,11,10,
agne,0,0,0,0,5,0,
agnes,0,0,0,0,2,0,
ago,0,2,1,5,29,32,
agoe,0,0,0,0,1,0,
agonise,0,0,0,1,1,1,
agonising,0,0,0,0,1,0,
agony,0,0,0,1,14,7,
agree,11,3,3,10,12,14,
agreeable,0,0,0,1,8,9,
agreeably,0,0,0,0,2,0,
agreement,18,0,0,18,19,20,
ague,1,0,0,0,1,0,
ah,0,22,2,7,49,24,
aha,0,0,0,0,5,1,
ahead,0,0,0,0,3,2,
aid,0,0,0,1,6,15,
ailing,0,0,0,0,1,1,
aim,1,1,0,0,6,3,
air,3,7,0,19,73,70,
airily,0,0,0,0,0,1,
airs,0,0,0,0,1,0,
airy,0,3,0,0,1,2,
ajar,0,0,0,0,0,1,
ak,0,0,0,1,0,0,
ake,0,0,2,0,0,0,
aker,0,0,1,0,0,0,
akin,0,0,0,0,1,2,
al,0,0,1,0,1,2,
ala,0,1,2,0,2,0,
alabaster,1,0,0,0,1,0,
alack,3,11,0,0,0,0,
alacke,0,0,3,0,0,0,
alacrity,0,0,0,0,3,1,
alarm,0,0,0,3,28,11,
alarme,0,0,1,0,0,0,
alarmed,0,0,0,0,6,2,
alarming,0,0,0,0,2,1,
alarmingly,0,0,0,0,0,1,
alarum,0,0,1,0,0,0,
alas,4,7,7,1,1,2,
albans,0,0,0,0,1,0,
albeit,2,0,0,0,0,1,
alcide,2,0,0,0,0,0,
alcove,0,0,0,0,0,1,
alderman,0,1,0,1,0,0,
ale,0,0,0,0,10,3,
alert,0,0,0,0,1,1,
alexander,0,0,5,0,0,0,
alexandre,0,0,0,0,0,6,
ali,0,0,0,2,0,0,
alien,1,0,0,0,0,0,
alienate,0,0,0,0,0,1,
alight,0,0,0,0,3,7,
alighted,1,0,0,0,0,0,
align,5,3,3,13,3,4,
aligned,0,2,2,0,0,0,
alijs,0,0,1,0,0,0,
alike,0,3,0,1,5,6,
alive,2,2,0,5,25,10,
alla,0,1,0,0,0,0,
allay,2,0,0,0,3,0,
allegeance,0,0,1,0,0,0,
alleviate,0,0,0,0,1,0,
alley,0,0,0,1,6,2,
alliance,0,1,0,0,0,0,
alligator,0,1,0,0,0,0,
allot,0,0,0,0,1,0,
allow,2,4,5,5,15,11,
allowable,0,1,1,0,1,0,
allowance,0,0,2,0,5,1,
allusion,0,0,0,0,3,3,
alluvial,0,0,0,0,0,1,
ally,0,1,1,0,0,2,
almighty,0,0,0,0,2,0,
almond,0,0,0,1,0,0,
almost,6,3,7,5,70,49,
almshouse,0,0,0,1,0,0,
aloft,0,1,0,0,2,2,
alone,5,18,10,14,61,54,
along,3,5,4,9,51,43,
aloof,2,3,0,0,1,0,
aloofe,0,0,2,0,0,0,
aloud,0,2,0,0,8,8,
alphabet,0,0,0,1,1,0,
alphabetical,0,0,0,0,1,0,
already,4,5,5,4,46,42,
also,2,0,3,9,20,30,
altar,0,0,0,1,1,3,
alter,2,0,1,2,10,7,
alteration,1,1,1,3,3,2,
alterations,0,0,0,0,1,0,
altercation,0,0,0,0,1,1,
altered,0,0,0,0,0,2,
alternate,1,0,0,1,3,2,
alternately,0,0,0,0,4,0,
alternation,0,0,0,0,1,0,
alternative,0,0,0,0,4,0,
alternatively,0,2,2,0,0,0,
although,1,2,1,6,52,17,
altitude,0,0,1,0,0,1,
altogether,0,0,1,1,7,13,
alwayes,0,0,2,0,0,0,
always,1,0,0,18,57,106,
amaz,1,2,1,0,0,0,
amaze,0,0,1,0,0,0,
amazed,0,0,0,1,2,3,
amazement,0,0,2,0,7,3,
amazingly,0,0,0,0,1,1,
amb,0,0,1,0,0,0,
ambass,0,0,1,0,0,0,
ambassador,1,0,4,0,0,1,
ambassadours,0,0,1,0,0,0,
amber,0,0,1,0,0,0,
ambiguity,0,1,0,0,0,0,
ambiguous,0,0,1,0,0,0,
ambition,0,0,5,0,1,4,
ambitious,2,0,3,0,2,0,
amble,0,1,1,0,0,0,
ambuscade,0,0,0,0,0,1,
ambuscadoe,0,1,0,0,0,0,
amen,2,4,1,0,1,0,
amend,0,1,0,2,1,3,
amendment,0,0,0,0,1,1,
amerce,0,1,0,0,0,0,
america,0,0,0,0,0,3,
americans,0,0,0,0,0,1,
amiability,0,0,0,0,1,0,
amiable,0,0,0,0,9,2,
amiably,0,0,0,0,0,1,
amicably,0,0,0,0,1,1,
amid,0,0,0,0,2,0,
amidst,0,0,0,0,3,3,
amis,0,0,1,0,0,0,
amiss,1,0,0,0,1,2,
amisse,0,0,1,0,0,0,
amity,2,0,1,0,0,0,
ammunition,0,0,0,0,0,1,
among,5,6,5,16,57,107,
amongst,0,0,0,2,3,0,
amorous,1,2,0,0,1,0,
amount,0,0,0,0,7,1,
amphitheatre,0,0,0,0,1,0,
ample,0,0,0,1,1,1,
amselle,0,0,0,0,0,1,
amuse,0,0,0,0,5,3,
amused,0,0,0,0,1,0,
amusement,0,0,0,0,7,0,
amusing,0,0,0,0,1,0,
analyse,0,0,0,0,0,1,
analyze,0,1,1,0,0,0,
anathematise,0,0,0,0,0,1,
anatomise,0,0,0,0,0,1,
anatomy,0,1,0,0,0,0,
ancestor,0,1,0,1,0,1,
ancestral,0,0,0,0,0,1,
anchor,0,0,0,0,0,1,
anchorage,0,0,0,0,0,1,
ancient,3,9,1,5,1,10,
anciently,0,0,0,0,1,0,
anckle,0,0,1,0,0,0,
andrew,1,0,0,0,1,0,
anew,0,0,0,0,1,7,
angel,3,2,4,2,11,6,
angelic,0,0,0,1,0,0,
angelica,0,1,0,0,0,0,
angelical,0,1,0,0,0,0,
angell,0,0,2,0,0,0,
anger,0,5,1,0,6,7,
angle,0,0,1,0,6,3,
angrily,0,0,0,0,9,3,
angry,0,1,1,5,14,15,
anguish,0,1,0,0,5,4,
animal,1,0,1,5,12,3,
animate,0,0,0,0,5,4,
animated,0,0,0,0,0,1,
animation,0,0,0,0,1,0,
animosity,0,0,0,0,1,2,
aniseed,0,0,0,0,0,1,
ankle,0,0,0,2,1,1,
anna,0,0,0,0,0,1,
annexment,0,0,1,0,0,0,
annihilate,0,0,0,0,0,1,
annihilation,0,0,0,0,0,1,
anniversary,0,0,0,0,0,1,
anno,0,0,0,0,0,1,
annoint,0,0,1,0,0,0,
announce,0,0,0,1,10,5,
announcement,0,0,1,1,0,2,
annoy,0,0,0,0,1,1,
annoyance,0,0,0,0,2,0,
annoyed,0,0,0,0,0,1,
annoying,0,0,0,0,1,0,
annual,0,0,1,0,0,0,
annuall,0,0,1,0,0,0,
annuity,0,0,0,0,1,0,
anny,0,0,0,0,1,0,
anoint,0,0,0,0,1,0,
anon,3,8,6,0,1,1,
anonymous,0,0,1,1,0,0,
another,10,14,10,35,124,135,
anselmo,0,1,0,0,0,0,
answer,21,10,14,19,58,116,
answere,0,0,4,0,0,0,
answered,0,0,0,0,0,1,
antagonist,0,0,0,0,1,0,
ante,0,0,0,0,2,1,
antecedent,0,0,0,0,0,2,
anteroom,0,0,0,0,1,0,
anthony,0,1,0,0,0,0,
anti,0,0,0,0,1,1,
antic,0,2,0,0,1,0,
anticipate,0,0,0,0,5,6,
anticipation,0,0,1,0,2,2,
anticke,0,0,2,0,0,0,
antike,0,0,1,0,0,0,
antimonial,0,0,0,0,1,0,
antipathy,0,0,0,0,1,2,
antipode,1,0,0,0,0,0,
antique,0,0,0,1,0,0,
antiquity,0,0,1,0,0,5,
antoine,0,0,0,0,0,52,
antonio,110,0,0,0,0,0,
anxiety,0,0,0,0,15,9,
anxious,0,0,0,2,25,16,
anxiously,0,0,0,1,10,2,
anybody,0,0,0,6,22,13,
anyhow,0,0,0,0,1,0,
anyone,6,1,0,5,5,5,
anythe,0,0,0,1,0,0,
anything,9,4,0,19,78,57,
anythink,0,0,0,0,1,0,
anyway,0,0,0,1,1,0,
anyways,0,0,0,0,0,1,
anywhere,2,1,0,3,5,6,
aol,0,0,1,0,0,0,
ap,0,0,0,0,1,0,
apace,0,2,0,0,1,0,
apale,0,0,1,0,0,0,
apart,0,0,2,3,6,16,
apartment,0,0,0,0,14,5,
ape,0,2,3,0,0,0,
aperture,0,0,0,0,5,0,
aphorism,0,0,0,0,0,1,
apiece,0,0,0,0,1,0,
apocryphal,0,0,0,0,0,1,
apologetic,0,0,0,0,0,1,
apology,0,1,0,0,2,1,
apoplectic,0,0,0,1,0,0,
apostle,0,0,0,1,0,0,
apostrophe,0,0,0,0,1,1,
apostrophise,0,0,0,0,0,2,
apoth,0,4,0,0,0,0,
apothecary,0,5,0,0,5,0,
appal,0,0,0,1,1,0,
appalling,0,0,0,1,1,0,
apparatus,0,0,0,0,1,1,
apparel,1,0,0,1,2,0,
apparell,0,1,1,0,0,0,
apparent,1,0,0,0,3,4,
apparently,0,0,0,1,17,6,
apparition,0,0,2,3,1,4,
appeal,0,0,0,1,13,13,
appealed,0,0,0,0,1,0,
appealing,0,0,0,0,1,0,
appear,14,3,5,20,80,36,
appearance,0,0,0,3,54,30,
appeare,0,0,4,0,0,0,
appeareth,1,0,0,0,0,0,
appellation,0,0,0,0,0,1,
appendage,0,0,0,0,1,0,
appertain,0,0,0,0,1,0,
appertaining,0,1,0,0,2,0,
appetite,1,1,1,2,7,0,
applaud,0,0,1,1,0,1,
applause,1,0,0,0,2,1,
apple,1,0,0,5,1,2,
appliance,0,0,1,0,0,0,
applicable,3,0,1,3,3,3,
applicant,0,0,0,0,1,0,
application,0,0,0,0,8,3,
applie,0,0,0,0,0,1,
apply,1,1,2,5,18,2,
appoint,0,0,0,0,3,9,
appointment,0,0,1,0,6,3,
appraise,0,0,0,1,0,0,
appreciate,0,0,0,0,1,2,
appreciation,0,0,0,0,1,0,
appreciative,0,0,0,0,0,2,
apprehend,0,3,0,0,5,2,
apprehended,0,0,0,0,1,0,
apprehending,0,0,0,0,1,0,
apprehension,0,0,2,0,7,7,
apprehensive,0,0,0,1,0,1,
apprehensively,0,0,0,0,3,0,
apprentice,0,0,0,4,9,0,
apprenticeship,0,0,0,0,1,0,
apprise,0,0,0,0,0,1,
approach,4,3,0,5,18,15,
approbation,0,0,0,0,1,1,
appropriate,0,0,0,1,8,1,
appropriation,1,0,0,0,0,0,
approue,0,0,1,0,0,0,
approval,0,0,0,0,6,3,
approve,1,0,0,1,4,4,
approver,0,0,0,0,1,0,
approvingly,0,0,0,0,6,2,
appurtenance,0,0,1,0,0,0,
april,1,1,0,0,0,0,
apron,0,0,0,1,11,0,
aps,0,0,0,0,1,0,
apt,0,3,2,0,1,0,
aqua,0,2,0,0,0,0,
aquiline,0,0,0,0,0,3,
aquirement,0,0,0,0,1,0,
ar,0,0,1,0,1,0,
arabia,1,0,0,0,0,0,
arabian,0,0,0,0,0,1,
aragon,1,0,0,0,0,0,
arbitrary,0,0,0,0,1,0,
arbitrate,0,1,0,0,0,0,
